requestId,browseNodeId,numberOfResultAskedFor,resultAid
"be56af30-3666-4379-b878-3e30c29f1814","5234636546","44","AIDHOYN92001"
"be56af30-3666-4379-b878-3e30c29f1814","5234636546","44","AIDVNY392001"
"be56af30-3666-4379-b878-3e30c29f1814","5234636546","44","AIDA0UN04001"
"be56af30-3666-4379-b878-3e30c29f1814","5234636546","44","AIDB6QML4001"
"be56af30-3666-4379-b878-3e30c29f1814","5234636546","44","AIDGNV712001"
"be56af30-3666-4379-b878-3e30c29f1814","5234636546","44","AIDUTY392001"
"be56af30-3666-4379-b878-3e30c29f1814","5234636546","44","AIDAOCE72001"
"be56af30-3666-4379-b878-3e30c29f1814","5234636546","44","AID80DST4001"
"be56af30-3666-4379-b878-3e30c29f1814","5234636546","44","AIDZRI955001"
"be56af30-3666-4379-b878-3e30c29f1814","5234636546","44","AID0V6T35001"
"be56af30-3666-4379-b878-3e30c29f1814","5234636546","44","AIDHOYN92001"
"be56af30-3666-4379-b878-3e30c29f1814","5234636546","44","AIDVNY392001"
"be56af30-3666-4379-b878-3e30c29f1814","5234636546","44","AIDB6QML4001"
"be56af30-3666-4379-b878-3e30c29f1814","5234636546","44","AID0V6T35001"
"be56af30-3666-4379-b878-3e30c29f1814","5234636546","44","AIDA0UN04001"
"be56af30-3666-4379-b878-3e30c29f1814","5234636546","44","AIDUTY392001"
"be56af30-3666-4379-b878-3e30c29f1814","5234636546","44","AIDZRI955001"
"be56af30-3666-4379-b878-3e30c29f1814","5234636546","44","AID80DST4001"
"be56af30-3666-4379-b878-3e30c29f1814","5234636546","44","AIDGNV712001"
"be56af30-3666-4379-b878-3e30c29f1814","5234636546","44","AIDAOCE72001"
"be56af30-3666-4379-b878-3e30c29f1814","5234636546","44","AIDVNY392001"
"be56af30-3666-4379-b878-3e30c29f1814","5234636546","44","AIDB6QML4001"
"be56af30-3666-4379-b878-3e30c29f1814","5234636546","44","AIDA0UN04001"
"be56af30-3666-4379-b878-3e30c29f1814","5234636546","44","AIDHOYN92001"
"be56af30-3666-4379-b878-3e30c29f1814","5234636546","44","AIDUTY392001"
"be56af30-3666-4379-b878-3e30c29f1814","5234636546","44","AID0V6T35001"
"be56af30-3666-4379-b878-3e30c29f1814","5234636546","44","AIDZRI955001"
"be56af30-3666-4379-b878-3e30c29f1814","5234636546","44","AIDAOCE72001"
"be56af30-3666-4379-b878-3e30c29f1814","5234636546","44","AID80DST4001"
"be56af30-3666-4379-b878-3e30c29f1814","5234636546","44","AIDGNV712001"
